sid,link_name,borough,treatment_group,signed_min_distance_m,signed_max_distance_m,nearest_boundary_line_m,wholly_north_of_boundary,geometry_source,metric,polyline
38039,49th Street - Westbound - 8th Ave to 9th Ave,Manhattan,treated,-995.0862736426322,-987.8253781851552,987.8253781851552,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,igxwF~nqbMsF~P
53038,8th Avenue - Northbound - 42nd St to 49th St,Manhattan,treated,-1557.7149104172286,-994.4930844160286,994.4930844160286,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,ukwwFfcrbMeCcB_C{A{BwA{B}A{ByA}B{A}ByA
37038,49th Street - Westbound - 7th Ave to 8th Ave,Manhattan,treated,-1000.9500950193112,-994.4930844160286,994.4930844160286,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,_`xwFp}pbMkFnP
37059,7th Avenue - Southbound - 49th St to 42nd St,Manhattan,treated,-1565.1670526746032,-1000.5578770056275,1000.5578770056275,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,_`xwFn}pbMxN~I`K|G
18037,49th Street - Westbound - 6th Ave to 7th Ave,Manhattan,treated,-1007.2255832365009,-1001.5432842467391,1001.5432842467391,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,mxwwFpkpbMoF|P
15018,49th Street - Westbound - 5th Ave to 6th Ave,Manhattan,treated,-1014.1623315754891,-1006.8333652228172,1006.8333652228172,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,}owwFhwobMoGdS
17018,6th Avenue - Northbound - 42nd St to 49th St,Manhattan,treated,-1569.854220010664,-1007.2255832365009,1007.2255832365009,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,y|vwFx_qbMaK}GwFqDyFwD
15014,5th Avenue - Southbound - 49th St to 42th St,Manhattan,treated,-1578.1685936040565,-1014.1623315754891,1014.1623315754891,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,}owwFhwobMvFxDzFrD`KzG
12015,49th Street - Westbound - Madison Ave to 5th Ave,Manhattan,treated,-1018.0229237582548,-1014.5545495891728,1014.5545495891728,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,ukwwFfmobMgCbI
2012,49th Street - Westbound - Lexington Ave to Madison Ave,Manhattan,treated,-1026.1363261382942,-1017.6307057445713,1017.6307057445713,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,ecwwFdynbMgC~HgC~H
